# hltpath                                        L1_seed                       PD                       L1     hlt   AveEvtSize_kb/evt
#____________________________________________    _______________________       ___________              ___    ___   _________________ 
#SPECTRA & HEAVY FLAVOR                                 
HLT_PAL1DoubleMuOpen_SS_v1                       L1_DoubleMuOpen_SS_BptxAND    PADoubleMuon             1      1     150
HLT_PAL1DoubleMu10_v1                            L1_DoubleMu10_BptxAND         PADoubleMuon             1      1     150
HLT_PAL2DoubleMu10_v1                            L1_DoubleMu10_BptxAND         PADoubleMuon             1      1     150
HLT_PAL3DoubleMu10_v1                            L1_DoubleMu10_BptxAND         PADoubleMuon             1      1     150
#CORR/FLOW
HLT_PAFullTracks_Multiplicity120                 L1_MinimumBiasHF0_OR_BptxAND  PAHighMultiplicity0      40     1     100
HLT_PAFullTracks_Multiplicity120_HighPt8         L1_MinimumBiasHF0_OR_BptxAND  PAHighMultiplicity0      40     1     100
HLT_PAFullTracks_Multiplicity120_HighPt16        L1_SingleJet12_BptxAND        PAHighMultiplicity0      20     1     100
HLT_PAFullTracks_Multiplicity150                 L1_MinimumBiasHF0_OR_BptxAND  PAHighMultiplicity0      40     1     100
HLT_PAFullTracks_Multiplicity185                 L1_TowerCount62_BptxAND       PAHighMultiplicity1-6    1      1     100
HLT_PAFullTracks_Multiplicity220                 L1_TowerCount74_BptxAND       PAHighMultiplicity7      1      1     100
HLT_PAFullTracks_Multiplicity250                 L1_TowerCount74_BptxAND       PAHighMultiplicity7      1      1     100
HLT_PAFullTracks_Multiplicity280                 L1_TowerCount74_BptxAND       PAHighMultiplicity7      1      1     100
